,Start,Duration [h],End,Event,People,Start Heating
0,4/2/2019 11:00,1,4/2/2019 12:00,Funeral,200,4/2/2019 6:00
1,4/5/2019 11:00,1,4/5/2019 12:00,Funeral,180,4/5/2019 6:00
2,4/12/2019 11:00,1,4/12/2019 12:00,Funeral,75,4/12/2019 6:00
3,4/14/2019 11:00,1,4/14/2019 12:00,Service,72,4/14/2019 4:40
4,4/16/2019 11:00,1,4/16/2019 12:00,Easter,150,
5,4/18/2019 19:00,1,4/18/2019 20:00,Easter,24,
6,4/21/2019 11:00,1,4/21/2019 12:00,Easter,50,
7,4/24/2019 11:00,1,4/24/2019 12:00,Funeral,70,
8,4/26/2019 13:00,1,4/26/2019 14:00,Funeral,135,
9,4/28/2019 11:00,1,4/28/2019 12:00,Service,17,
10,5/10/2019 15:00,1,5/10/2019 16:00,Service,140,
11,5/12/2019 11:00,1,5/12/2019 12:00,Service,80,
12,5/15/2019 10:00,1,5/15/2019 11:00,Funeral,90,
13,5/23/2019 15:00,1,5/23/2019 16:00,Other,75,
14,5/26/2019 10:00,1,5/26/2019 11:00,Confirmation,230,
15,5/26/2019 12:00,1,5/26/2019 13:00,Confirmation,245,
16,6/1/2019 13:00,1,6/1/2019 14:00,Wedding,70,
17,6/7/2019 13:00,1,6/7/2019 14:00,Funeral,100,
18,6/8/2019 14:00,1,6/8/2019 15:00,Wedding,140,
19,6/8/2019 15:30,1,6/8/2019 16:30,Visitors,52,
20,6/9/2019 11:00,1,6/9/2019 12:00,Service,65,
22,6/10/2019 19:00,0.5,6/10/2019 19:30,Visitors,112,
29,6/16/2019 11:00,1,6/16/2019 12:00,Service,38,
34,6/21/2019 12:00,7,6/21/2019 19:00,Visitors,151,
39,6/26/2019 16:50,0.6,6/26/2019 17:30,Visitors,151,
42,6/28/2019 11:00,1,6/28/2019 12:00,Funeral,35,
45,6/30/2019 19:00,2,6/30/2019 21:00,Concert,68,
50,7/5/2019 13:00,1,7/5/2019 14:00,Funeral,30,
52,7/6/2019 13:00,1,7/6/2019 14:00,Wedding,111,
54,7/7/2019 11:00,1,7/7/2019 12:00,Service,26,
55,7/7/2019 18:00,3,7/7/2019 21:00,Visitors,154,
56,7/7/2019 19:00,2,7/7/2019 21:00,Concert,69,
62,7/13/2019 13:00,1,7/13/2019 14:00,Wedding,25,
65,7/14/2019 19:00,2,7/14/2019 21:00,Concert,69,
68,7/17/2019 11:00,1,7/17/2019 12:00,Funeral,140,
71,7/19/2019 11:00,1,7/19/2019 12:00,Funeral,22,
75,7/22/2019 17:20,0.6,7/22/2019 18:00,Visitors,243,
82,7/28/2019 11:00,1,7/28/2019 12:00,Service,38,
83,7/28/2019 19:00,2,7/28/2019 21:00,Concert,68,
89,8/3/2019 13:00,1,8/3/2019 14:00,Wedding,120,
96,8/9/2019 17:30,1,8/9/2019 18:30,Visitors,281,
101,8/14/2019 13:00,1,8/14/2019 14:00,Funeral,84,
102,8/14/2019 17:50,0.5,8/14/2019 18:20,Visitors,78,
106,8/18/2019 11:00,1,8/18/2019 12:00,Service,29,
107,8/18/2019 14:45,1,8/18/2019 15:45,Visitors,61,
115,9/1/2019 11:00,1,9/1/2019 12:00,Service,110,
116,9/6/2019 13:00,1,9/6/2019 14:00,Funeral,75,
117,9/13/2019 11:00,1,9/13/2019 12:00,Funeral,50,
118,9/20/2019 11:00,1,9/20/2019 12:00,Funeral,120,9/20/2019 9:40
119,9/20/2019 13:00,1,9/20/2019 14:00,Funeral,131,9/20/2019 9:40
120,9/22/2019 11:00,1,9/22/2019 12:00,Service,80,9/22/2019 10:10
121,10/6/2019 11:00,1,10/6/2019 12:00,Service,62,10/6/2019 3:50
122,10/11/2019 11:00,1,10/11/2019 12:00,Funeral,50,10/11/2019 4:55
123,10/22/2019 13:00,1,10/22/2019 14:00,Funeral,150,10/22/2019 10:00
124,10/27/2019 11:00,1,10/27/2019 12:00,Service,107,10/27/2019 4:50
125,11/1/2019 11:00,1,11/1/2019 12:00,Funeral,259,11/1/2019 5:00
126,11/3/2019 11:00,1,11/3/2019 12:00,Service,65,11/3/2019 3:40
127,11/3/2019 19:00,2,11/3/2019 21:00,Concert,55,11/3/2019 3:40
128,11/17/2019 11:00,1,11/17/2019 12:00,Service,160,11/17/2019 3:00
129,11/20/2019 13:30,1,11/20/2019 14:30,Funeral,40,11/20/2019 7:00
130,11/29/2019 11:00,1,11/29/2019 12:00,Funeral,26,11/29/2019 0:50
131,12/1/2019 11:00,1,12/1/2019 12:00,Service,52,12/1/2019 1:30
132,12/10/2019 11:00,1,12/10/2019 12:00,Funeral,24,12/10/2019 4:45
133,12/19/2019 9:00,2,12/19/2019 11:00,School,115,12/19/2019 1:00
134,12/21/2019 19:00,2,12/21/2019 21:00,Concert,145,12/21/2019 1:20
135,12/24/2019 14:00,1,12/24/2019 15:00,Christmas,240,12/24/2019 2:50
136,12/24/2019 16:00,1,12/24/2019 17:00,Christmas,240,12/24/2019 2:50
137,12/25/2019 11:00,1,12/25/2019 12:00,Christmas,80,12/25/2019 1:00
138,12/29/2019 11:00,1,12/29/2019 12:00,Service,31,12/29/2019 2:55
139,1/3/2020 11:00,1,1/3/2020 12:00,Funeral,62,1/3/2020 1:00
140,1/21/2020 11:00,1,1/21/2020 12:00,Funeral,90,1/21/2020 6:00
141,1/26/2020 11:00,1,1/26/2020 12:00,Service,50,1/26/2020 2:55
142,1/31/2020 11:00,1,1/31/2020 12:00,Funeral,80,1/31/2020 2:30
143,1/31/2020 13:00,1,1/31/2020 14:00,Funeral,98,1/31/2020 2:30
144,2/21/2020 11:00,1,2/21/2020 12:00,Funeral,80,2/21/2020 2:00
145,2/21/2020 13:00,1,2/21/2020 14:00,Funeral,94,2/21/2020 3:00
146,2/23/2020 11:00,1,2/23/2020 12:00,Service,29,2/23/2020 1:00
