Name;Station;Time(norwegian mean time);Air temperature;Relative air humidity
E6 Frya;SN13390;30.03.2019 01:00;2;84
E6 Frya;SN13390;30.03.2019 01:10;1.7;84
E6 Frya;SN13390;30.03.2019 01:20;1.8;85
E6 Frya;SN13390;30.03.2019 01:30;1.6;85
E6 Frya;SN13390;30.03.2019 01:40;1.5;85
E6 Frya;SN13390;30.03.2019 01:50;1.8;83
E6 Frya;SN13390;30.03.2019 02:00;1;88
E6 Frya;SN13390;30.03.2019 02:10;1.1;86
E6 Frya;SN13390;30.03.2019 02:20;1.3;84
E6 Frya;SN13390;30.03.2019 02:30;1.3;83
E6 Frya;SN13390;30.03.2019 02:40;0.8;87
E6 Frya;SN13390;30.03.2019 02:50;0.9;87
E6 Frya;SN13390;30.03.2019 03:00;1.1;84
E6 Frya;SN13390;30.03.2019 03:10;1;85
E6 Frya;SN13390;30.03.2019 03:20;1.7;80
E6 Frya;SN13390;30.03.2019 03:30;0.9;85
E6 Frya;SN13390;30.03.2019 03:40;0.8;87
E6 Frya;SN13390;30.03.2019 03:50;1;86
E6 Frya;SN13390;30.03.2019 04:00;0.9;85
E6 Frya;SN13390;30.03.2019 04:10;0.8;85
E6 Frya;SN13390;30.03.2019 04:20;0.9;83
E6 Frya;SN13390;30.03.2019 04:30;0.6;85
E6 Frya;SN13390;30.03.2019 04:40;0.1;87
E6 Frya;SN13390;30.03.2019 04:50;0.1;88
E6 Frya;SN13390;30.03.2019 05:00;0.1;88
E6 Frya;SN13390;30.03.2019 05:10;-0.2;86
E6 Frya;SN13390;30.03.2019 05:20;-0.6;88
E6 Frya;SN13390;30.03.2019 05:30;0.1;86
E6 Frya;SN13390;30.03.2019 05:40;-0.9;87
E6 Frya;SN13390;30.03.2019 05:50;-0.3;89
E6 Frya;SN13390;30.03.2019 06:00;-0.4;88
E6 Frya;SN13390;30.03.2019 06:10;-0.2;88
E6 Frya;SN13390;30.03.2019 06:20;0;86
E6 Frya;SN13390;30.03.2019 06:30;0.1;87
E6 Frya;SN13390;30.03.2019 06:40;0.2;87
