,loss,reconstruction_loss,kl_loss
0,119206.2109375,119157.1640625,49.055789947509766
1,104491.7890625,103065.6875,1426.083984375
2,91559.8984375,89696.4921875,1863.3748779296875
3,87258.9765625,85410.5625,1848.4189453125
4,85611.6171875,83715.1953125,1896.404296875
5,84105.1484375,82078.53125,2026.59814453125
6,82314.46875,80037.2890625,2277.179443359375
7,80187.6953125,77785.0546875,2402.624267578125
8,78334.6484375,75794.28125,2540.3828125
9,77055.1875,74509.75,2545.437255859375
10,76258.2109375,73709.109375,2549.079833984375
11,75567.1953125,73057.9140625,2509.312255859375
12,75236.640625,72716.0703125,2520.56494140625
13,74824.890625,72372.4921875,2452.3994140625
14,74413.171875,71977.59375,2435.57421875
15,74063.859375,71666.6484375,2397.189453125
16,73705.9765625,71358.8828125,2347.078369140625
17,73422.0546875,71102.8984375,2319.170654296875
18,73157.484375,70843.203125,2314.282958984375
19,72847.8203125,70562.1328125,2285.705810546875
20,72517.46875,70252.0078125,2265.487060546875
21,72291.265625,70026.9921875,2264.26171875
22,71967.1875,69659.5234375,2307.668212890625
23,71590.875,69287.8828125,2303.0087890625
24,71350.578125,69042.859375,2307.733642578125
25,71196.9609375,68855.28125,2341.680419921875
26,70647.609375,68289.625,2357.974365234375
27,70429.0234375,68019.0078125,2410.014892578125
28,69431.9140625,66978.2578125,2453.65869140625
29,69215.5859375,66740.3046875,2475.279541015625
30,68369.71875,65889.9921875,2479.71240234375
31,67063.71875,64510.12890625,2553.578857421875
32,66150.859375,63538.0703125,2612.806640625
33,65558.875,62837.83203125,2721.050537109375
34,64064.87109375,61316.96484375,2747.904541015625
35,63134.4765625,60397.0390625,2737.417236328125
36,62355.8359375,59577.82421875,2778.000244140625
37,61992.94140625,59235.19140625,2757.751220703125
38,61167.5703125,58378.890625,2788.663818359375
39,60380.359375,57579.90234375,2800.462646484375
40,59904.3828125,57078.7890625,2825.586669921875
41,59577.640625,56705.98828125,2871.674072265625
42,58872.52734375,55935.2734375,2937.245849609375
43,58235.89453125,55250.90625,2984.98388671875
44,57930.19921875,54922.19140625,3008.0146484375
45,57376.265625,54373.25390625,3003.0087890625
46,57166.609375,54161.28515625,3005.32666015625
47,56939.28515625,53890.34375,3048.949462890625
48,56719.0703125,53673.796875,3045.2802734375
49,56559.25,53514.046875,3045.188232421875
