,loss,reconstruction_loss,kl_loss
0,145640.859375,145619.46875,21.39842987060547
1,143511.84375,143415.265625,96.57542419433594
2,138542.484375,137786.515625,755.979248046875
3,135279.984375,134270.359375,1009.6168212890625
4,130610.125,129423.3515625,1186.765869140625
5,128461.5078125,127562.4921875,899.0133666992188
6,127606.578125,126611.703125,994.8504638671875
7,126175.734375,125015.2890625,1160.423828125
8,124514.3671875,123278.6171875,1235.7310791015625
9,123622.140625,122521.6171875,1100.5347900390625
10,122841.9453125,121676.484375,1165.463134765625
11,122549.5078125,121329.0,1220.507080078125
12,122414.625,121206.7265625,1207.9034423828125
13,122096.4921875,120950.9765625,1145.508544921875
14,121866.8828125,120711.0234375,1155.876953125
15,121769.65625,120661.0703125,1108.606201171875
16,121763.7734375,120708.453125,1055.33740234375
17,121842.8046875,120815.1796875,1027.617919921875
18,121703.0546875,120699.21875,1003.8238525390625
19,121532.4921875,120521.265625,1011.2459106445312
20,121611.578125,120637.75,973.816162109375
21,121489.53125,120518.234375,971.2841186523438
22,121501.203125,120539.5390625,961.6605224609375
23,121433.7734375,120484.078125,949.6971435546875
24,121476.25,120541.7734375,934.4970092773438
25,121501.7734375,120567.4609375,934.3109741210938
26,121475.3984375,120517.8984375,957.4910278320312
27,121418.2578125,120496.0390625,922.2138671875
28,121462.328125,120547.359375,914.95703125
29,121398.484375,120473.3046875,925.1752319335938
